3cpio,0.10.2-0ubuntu1
7zip,25.01+dfsg-2
accountsservice,23.13.9-7ubuntu1
accountwizard,4:25.08.1-0ubuntu1
acl,2.3.2-2
adduser,3.152ubuntu1
advancecomp,2.5-1build1
adwaita-icon-theme,49.0-1
aha,0.5.1-3build1
akonadi-backend-sqlite,4:25.08.1-0ubuntu2
akonadi-contacts-data,4:25.08.1-0ubuntu1
akonadi-mime-data,4:25.08.1-0ubuntu2
akonadi-server,4:25.08.1-0ubuntu2
akonadiconsole,4:25.08.1-0ubuntu1
akregator,4:25.08.1-0ubuntu1
alligator,25.08.1-0ubuntu1
alsa-base,1.0.25+dfsg-0ubuntu8
alsa-topology-conf,1.2.5.1-3
alsa-ucm-conf,1.2.12-1ubuntu2.3
alsa-utils,1.2.14-1ubuntu1
amd64-microcode,3.20250708.1ubuntu1
anacron,2.3-43ubuntu1
analitza-common,4:25.08.1-0ubuntu1
apparmor,5.0.0~alpha1-0ubuntu8.3
apparmor-utils,5.0.0~alpha1-0ubuntu8.3
appmenu-gtk-module-common,25.04-1
appmenu-gtk3-module:amd64,25.04-1
apport,2.33.1-0ubuntu3
apport-core-dump-handler,2.33.1-0ubuntu3
apport-gtk,2.33.1-0ubuntu3
apport-symptoms,0.25
appstream,1.0.6-2
apt,3.1.6ubuntu2
apt-config-icons,1.0.6-2
apt-config-icons-hidpi,1.0.6-2
apt-config-icons-large,1.0.6-2
apt-config-icons-large-hidpi,1.0.6-2
aptdaemon,2.0.2
aptdaemon-data,2.0.2
ark,4:25.08.1-0ubuntu1
artikulate,4:25.04.3-0ubuntu1
aspell,0.60.8.1-4
aspell-en,2020.12.07-0-1
at-spi2-common,2.57.1-1
at-spi2-core,2.57.1-1
attr,1:2.5.2-3build1
avahi-daemon,0.8-16ubuntu3.1
baloo6,6.17.0-0ubuntu1
baobab,48.0-3
base-files,14ubuntu3
base-passwd,3.6.7
bash,5.2.37-2ubuntu5
bash-completion,1:2.16.0-7
bc,1.07.1-4
bind9-dnsutils,1:9.20.11-1ubuntu2.2
bind9-host,1:9.20.11-1ubuntu2.2
bind9-libs:amd64,1:9.20.11-1ubuntu2.2
binutils,2.45-7ubuntu1.2
binutils-common:amd64,2.45-7ubuntu1.2
binutils-x86-64-linux-gnu,2.45-7ubuntu1.2
bison,2:3.8.2+dfsg-1build3
blinken,4:25.08.1-0ubuntu1
bluedevil,4:6.4.5-0ubuntu1
bluez,5.83-1~exp1ubuntu0.1
bluez-cups,5.83-1~exp1ubuntu0.1
bluez-obexd,5.83-1~exp1ubuntu0.1
bogofilter,1.2.5-1build5
bogofilter-bdb,1.2.5-1build5
bogofilter-common,1.2.5-1build5
bolt,0.9.8-1
bomber,4:25.08.1-0ubuntu1
bovo,4:25.08.1-0ubuntu1
bpfcc-tools,0.31.0+ds-7ubuntu2
bpftool,7.7.0+6.17.0-20.20
bpftrace,0.23.5-1ubuntu1
breeze,4:6.4.5-0ubuntu1
breeze-cursor-theme,4:6.4.5-0ubuntu1
breeze-gtk-theme,6.4.5-0ubuntu1
breeze-wallpaper,4:6.4.5-0ubuntu1
bridge-utils,1.7.1-4ubuntu2
brltty,6.7-1ubuntu3
bsdextrautils,2.41-4ubuntu4.2
bsdutils,1:2.41-4ubuntu4.2
btrfs-progs,6.16-2
bubblewrap,0.11.0-2
build-essential,12.12ubuntu1
bup,0.33.7-1
bup-doc,0.33.7-1
busybox-initramfs,1:1.37.0-4ubuntu1
busybox-static,1:1.37.0-4ubuntu1
bzip2,1.0.8-6build1
ca-certificates,20250419
ca-certificates-java,20240118
cabextract,1.11-2
cantor,4:25.08.1-0ubuntu1
cantor-backend-qalculate,4:25.08.1-0ubuntu1
catdoc,1:0.95-6
cervisia,4:25.04.3-0ubuntu1
chrony,4.7-1ubuntu1
cifs-utils,2:7.4-1
clinfo,3.0.25.02.14-1
cloud-guest-utils,0.33-1
cloud-init,25.3~2g890873f5-0ubuntu2
cloud-init-base,25.3~2g890873f5-0ubuntu2
cmake,3.31.6-2ubuntu6
